CustID,AgentBonus,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,Zone,PaymentMethod,LastMonthCalls,CustCareScore
7000014,4311,26.0,17.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Divorced,21553.0,0,1.0,732802.0,West,Half Yearly,0,2.0
7000015,3402,7.0,3.0,Agent,Laarge Business,Engineer,Male,3,Manager,2.0,Divorced,21261.0,0,5.0,547683.0,West,Half Yearly,7,2.0
7000016,1930,12.0,4.0,Third Party Partner,Laarge Business,Engineer,Male,4,Manager,5.0,Divorced,19298.0,0,2.0,245085.0,West,Yearly,0,3.0
7000017,2180,9.0,11.0,Online,Salaried,Graduate,Male,3,Manager,2.0,Married,21804.0,1,1.0,287813.0,North,Half Yearly,7,2.0
7000018,2258,5.0,5.0,Third Party Partner,Small Business,UG,Male,3,Executive,3.0,Married,18815.0,1,1.0,392857.0,West,Half Yearly,0,3.0
7000019,4258,0.0,21.0,Agent,Small Business,UG,Male,3,Manager,2.0,Divorced,17741.0,1,3.0,847310.0,West,Half Yearly,7,2.0
7000020,3034,12.0,18.0,Agent,Small Business,Under Graduate,Male,3,Manager,5.0,Divorced,21673.0,1,1.0,324662.0,North,Half Yearly,0,3.0
7000021,4981,5.0,25.0,Agent,Small Business,Diploma,Female,3,Senior Manager,2.0,Divorced,22639.0,0,1.0,826776.0,West,Half Yearly,9,3.0
7000022,3466,0.0,3.0,Agent,Salaried,Graduate,Male,2,Executive,4.0,Married,17328.0,1,1.0,374285.0,West,Quarterly,2,4.0
7000023,3431,7.0,14.0,Third Party Partner,Small Business,Under Graduate,Female,3,Exe,2.0,Unmarried,17153.0,0,2.0,0.0,North,Half Yearly,7,3.0
7000024,4969,30.0,25.0,Online,Salaried,Graduate,Male,4,Manager,2.0,Divorced,19876.0,0,4.0,954048.0,North,Yearly,2,5.0
7000025,3903,20.0,8.0,Agent,Small Business,Under Graduate,Male,3,Senior Manager,5.0,Married,24396.0,0,5.0,640151.0,North,Half Yearly,3,2.0
7000026,3556,14.0,21.0,Agent,Small Business,Under Graduate,Male,5,Senior Manager,2.0,Divorced,25400.0,0,4.0,540512.0,West,Yearly,8,2.0
7000027,3756,8.0,15.0,Online,Salaried,Graduate,Male,4,Senior Manager,3.0,Single,23474.0,0,6.0,386852.0,West,Yearly,8,5.0
7000028,2998,12.0,3.0,Third Party Partner,Salaried,Graduate,Female,3,Manager,3.0,Single,24981.0,0,1.0,599544.0,West,Half Yearly,7,2.0
7000029,5223,26.0,31.0,Agent,Salaried,Graduate,Male,4,Senior Manager,4.0,Divorced,27490.0,0,2.0,851365.0,West,Yearly,7,3.0
7000030,4414,0.0,9.0,Agent,Large Business,Engineer,Fe male,3,Executive,5.0,Unmarried,17657.0,1,4.0,560610.0,West,Half Yearly,4,4.0
7000031,6576,7.0,26.0,Agent,Salaried,Graduate,Female,3,Senior Manager,2.0,Single,28591.0,1,16.0,749656.0,North,Half Yearly,0,2.0
7000032,4122,16.0,16.0,Third Party Partner,Small Business,Diploma,Female,4,Manager,5.0,Single,21696.0,0,2.0,783226.0,West,Yearly,1,2.0
7000033,2729,8.0,5.0,Agent,Large Business,Engineer,Male,3,Exe,3.0,Unmarried,17058.0,0,2.0,0.0,West,Half Yearly,5,2.0
7000034,2625,13.0,8.0,Online,Small Business,Under Graduate,Female,4,Senior Manager,2.0,Single,23865.0,0,2.0,393773.0,West,Yearly,8,4.0
7000035,5235,5.0,10.0,Agent,Small Business,Diploma,Female,3,Manager,5.0,Divorced,20940.0,0,13.0,738135.0,West,Half Yearly,5,4.0
7000036,2928,18.0,6.0,Agent,Salaried,Graduate,Male,3,Manager,4.0,Single,20914.0,0,4.0,494825.0,North,Half Yearly,7,2.0
7000037,2291,0.0,2.0,Agent,Small Business,UG,Fe male,4,Executive,4.0,Divorced,17622.0,0,2.0,341338.0,West,Yearly,1,4.0
7000038,6524,7.0,20.0,Third Party Partner,Salaried,Post Graduate,Male,3,Senior Manager,2.0,Married,27185.0,1,13.0,1246160.0,West,Half Yearly,7,3.0
7000039,5122,5.0,26.0,Agent,Salaried,Graduate,Male,3,Senior Manager,3.0,Married,25609.0,0,2.0,793879.0,North,Half Yearly,13,2.0
7000040,2708,16.0,14.0,Online,Small Business,UG,Male,5,Manager,3.0,Divorced,19345.0,0,1.0,365621.0,West,Yearly,4,3.0
7000041,2405,2.0,2.0,Agent,Salaried,Graduate,Male,4,Exe,2.0,Divorced,17177.0,0,7.0,0.0,North,Yearly,0,3.0
7000042,3779,11.0,23.0,Third Party Partner,Small Business,Diploma,Male,3,Exe,2.0,Married,17177.0,0,2.0,0.0,West,Half Yearly,8,4.0
7000043,3896,4.0,16.0,Third Party Partner,Small Business,Under Graduate,Female,3,Senior Manager,2.0,Divorced,22918.0,0,6.0,599993.0,West,Half Yearly,1,3.0
7000044,3806,15.0,11.0,Third Party Partner,Small Business,Diploma,Female,3,Senior Manager,3.0,Single,23789.0,0,5.0,738411.0,North,Half Yearly,8,5.0
7000045,4347,0.0,4.0,Agent,Small Business,Under Graduate,Male,4,Executive,2.0,Unmarried,17389.0,1,3.0,434725.0,West,Yearly,1,3.0
7000046,2003,10.0,0.0,Agent,Salaried,Graduate,Fe male,4,Executive,2.0,Single,18212.0,0,6.0,368611.0,West,Yearly,2,3.0
7000047,4450,27.0,9.0,Agent,Large Business,Engineer,Male,3,VP,2.0,Divorced,34232.0,0,0.0,756527.0,West,Half Yearly,15,2.0
7000048,3971,16.0,24.0,Agent,Small Business,Under Graduate,Male,3,Executive,3.0,Divorced,17267.0,0,4.0,424941.0,West,Half Yearly,2,4.0
7000049,7594,23.0,30.0,Agent,Small Business,Under Graduate,Female,3,VP,2.0,Married,34517.0,0,0.0,1306123.0,North,Half Yearly,6,2.0
7000050,2790,0.0,17.0,Agent,Small Business,Under Graduate,Male,3,Executive,2.0,Divorced,17436.0,1,4.0,488208.0,West,Half Yearly,4,2.0
7000051,6213,37.0,31.0,Agent,Small Business,Diploma,Female,3,AVP,2.0,Divorced,0.0,1,3.0,776600.0,North,Half Yearly,9,3.0
7000052,2125,0.0,4.0,Agent,Salaried,Graduate,Fe male,3,Executive,5.0,Divorced,17707.0,0,1.0,303852.0,West,Half Yearly,7,3.0
7000053,5451,33.0,27.0,Online,Salaried,Graduate,Male,4,VP,3.0,Single,34068.0,1,0.0,566892.0,North,Yearly,12,2.0
7000054,3218,19.0,10.0,Agent,Salaried,Graduate,Fe male,3,Executive,4.0,Divorced,18931.0,0,3.0,482741.0,West,Half Yearly,2,3.0
7000055,2060,8.0,2.0,Agent,Salaried,Graduate,Male,4,Executive,3.0,Single,18730.0,1,2.0,245176.0,North,Yearly,2,5.0
7000056,3102,12.0,3.0,Agent,Small Business,Under Graduate,Female,3,Exe,3.0,Married,17232.0,0,1.0,0.0,North,Half Yearly,2,3.0
7000057,1947,12.0,10.0,Online,Small Business,Diploma,Male,3,Manager,2.0,Divorced,19465.0,0,6.0,210222.0,North,Half Yearly,2,4.0
7000058,2530,15.0,0.0,Agent,Salaried,Graduate,Male,3,Manager,5.0,Married,18072.0,0,1.0,361801.0,West,Half Yearly,0,2.0
7000059,3847,8.0,0.0,Agent,Large Business,Engineer,Male,3,Manager,2.0,Married,18319.0,0,4.0,453945.0,North,Half Yearly,7,3.0
7000060,3420,14.0,10.0,Agent,Salaried,Post Graduate,Male,2,VP,2.0,Divorced,34202.0,0,0.0,420685.0,North,Quarterly,7,4.0
7000061,5162,10.0,31.0,Third Party Partner,Small Business,Under Graduate,Male,3,Senior Manager,3.0,Married,28675.0,0,8.0,727772.0,North,Half Yearly,2,4.0
7000062,2687,5.0,0.0,Agent,Salaried,Graduate,Fe male,4,Executive,2.0,Divorced,17911.0,0,1.0,292845.0,North,Yearly,2,2.0
7000063,4820,19.0,24.0,Agent,Salaried,Graduate,Male,4,Manager,5.0,Divorced,20957.0,0,8.0,882080.0,West,Yearly,9,4.0
7000064,4541,14.0,9.0,Agent,Small Business,UG,Fe male,4,Executive,5.0,Divorced,18920.0,0,5.0,476784.0,West,Yearly,2,4.0
7000065,3858,15.0,12.0,Third Party Partner,Salaried,Graduate,Male,2,Manager,3.0,Divorced,21434.0,0,1.0,598009.0,North,Quarterly,2,2.0
7000066,6262,13.0,38.0,Third Party Partner,Small Business,Under Graduate,Male,3,Senior Manager,3.0,Married,25048.0,0,6.0,845370.0,North,Half Yearly,0,3.0
7000067,2853,17.0,3.0,Third Party Partner,Large Business,Engineer,Female,3,Senior Manager,3.0,Single,25938.0,0,3.0,524985.0,North,Half Yearly,8,2.0
7000068,1907,0.0,2.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Unmarried,17340.0,0,1.0,223166.0,West,Half Yearly,5,3.0
7000069,2370,12.0,2.0,Agent,Salaried,Graduate,Female,2,Manager,5.0,Single,21545.0,1,4.0,421851.0,West,Quarterly,2,2.0
7000070,2632,5.0,3.0,Agent,Small Business,Diploma,Male,3,Manager,2.0,Married,21931.0,0,2.0,494763.0,West,Half Yearly,2,2.0
7000071,2587,10.0,10.0,Agent,Salaried,Graduate,Fe male,3,Manager,3.0,Divorced,19898.0,0,1.0,271608.0,North,Half Yearly,2,3.0
7000072,1759,0.0,4.0,Agent,Small Business,UG,Fe male,4,Executive,5.0,Married,17593.0,1,3.0,299081.0,West,Yearly,8,4.0
7000073,3788,19.0,8.0,Agent,Small Business,Under Graduate,Male,3,VP,3.0,Married,34436.0,0,0.0,458343.0,West,Half Yearly,9,5.0
7000074,1950,0.0,4.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Divorced,17723.0,0,1.0,384057.0,North,Half Yearly,0,4.0
7000075,2587,5.0,0.0,Third Party Partner,Small Business,UG,Male,4,Executive,4.0,Single,18479.0,0,1.0,463084.0,North,Yearly,4,3.0
7000076,4093,25.0,0.0,Third Party Partner,Salaried,Graduate,Male,2,Executive,4.0,Divorced,17794.0,0,1.0,781690.0,North,Quarterly,3,2.0
7000077,3037,15.0,15.0,Online,Salaried,Graduate,Male,4,Manager,2.0,Divorced,20249.0,0,9.0,419154.0,West,Yearly,5,5.0
7000078,3092,19.0,3.0,Agent,Large Business,Engineer,Male,4,Manager,5.0,Unmarried,17176.0,0,4.0,0.0,West,Yearly,4,4.0
7000079,3187,13.0,16.0,Agent,Large Business,Engineer,Female,5,AVP,4.0,Divorced,0.0,1,5.0,382464.0,North,Yearly,7,5.0
7000080,4621,14.0,0.0,Agent,Salaried,Graduate,Male,3,Executive,3.0,Single,18485.0,0,1.0,573035.0,North,Half Yearly,0,4.0
7000081,5411,22.0,22.0,Agent,Small Business,Under Graduate,Male,4,Manager,4.0,Divorced,21644.0,0,1.0,1001035.0,North,Yearly,0,4.0
7000082,5146,21.0,5.0,Agent,Small Business,Under Graduate,Male,4,Manager,2.0,Divorced,20582.0,0,6.0,926190.0,North,Yearly,8,3.0
7000083,3610,11.0,4.0,Online,Salaried,Graduate,Male,2,Manager,5.0,Married,19000.0,0,4.0,527060.0,West,Quarterly,5,5.0
7000084,4844,15.0,15.0,Agent,Small Business,Under Graduate,Male,3,AVP,2.0,Divorced,28496.0,1,2.0,949487.0,North,Half Yearly,10,3.0
7000085,4188,4.0,0.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Divorced,18210.0,0,1.0,603115.0,West,Half Yearly,11,5.0
7000086,7490,15.0,15.0,Agent,Small Business,Under Graduate,Male,3,VP,5.0,Single,34045.0,1,0.0,1303243.0,West,Half Yearly,13,2.0
7000087,5907,24.0,12.0,Online,Salaried,Graduate,Male,3,Senior Manager,4.0,Divorced,26849.0,1,2.0,590678.0,West,Half Yearly,9,3.0
7000088,1878,2.0,2.0,Agent,Small Business,Under Graduate,Male,3,Exe,2.0,Divorced,17070.0,0,1.0,0.0,North,Half Yearly,4,2.0
7000089,3870,12.0,8.0,Agent,Small Business,Under Graduate,Male,3,Manager,2.0,Divorced,21502.0,0,1.0,696665.0,North,Half Yearly,1,3.0
7000090,4375,26.0,0.0,Agent,Small Business,UG,Male,4,Executive,3.0,Single,18230.0,0,8.0,791911.0,North,Yearly,0,5.0
7000091,3432,17.0,17.0,Online,Small Business,Under Graduate,Female,3,Senior Manager,2.0,Married,28603.0,1,1.0,422180.0,East,Half Yearly,2,3.0
7000092,3779,15.0,4.0,Agent,Salaried,Graduate,Female,2,Senior Manager,4.0,Married,26996.0,0,6.0,733211.0,North,Quarterly,2,5.0
7000093,2473,5.0,2.0,Agent,Small Business,Under Graduate,Female,2,Manager,5.0,Married,20605.0,1,4.0,316493.0,West,Quarterly,7,3.0
7000094,3210,10.0,6.0,Third Party Partner,Salaried,Graduate,Female,3,Manager,4.0,Married,21397.0,0,8.0,436499.0,West,Half Yearly,4,5.0
7000095,5804,29.0,29.0,Agent,Salaried,Graduate,Male,3,VP,4.0,Married,34144.0,0,0.0,1073829.0,North,Half Yearly,6,5.0
7000096,7820,47.0,39.0,Agent,Small Business,Under Graduate,Male,3,AVP,0.0,Divorced,32584.0,1,0.0,1008801.0,West,Half Yearly,3,5.0
7000097,4977,30.0,30.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Divorced,19907.0,0,12.0,950559.0,West,Half Yearly,6,3.0
7000098,2542,13.0,5.0,Third Party Partner,Salaried,Graduate,Male,3,Manager,2.0,Single,19554.0,0,3.0,480442.0,West,Half Yearly,9,2.0
7000099,5104,31.0,26.0,Agent,Laarge Business,Engineer,Male,3,Manager,2.0,Divorced,20415.0,1,6.0,617554.0,West,Half Yearly,8,2.0
7000100,4738,28.0,28.0,Third Party Partner,Small Business,Under Graduate,Male,3,Manager,5.0,Divorced,19741.0,1,5.0,578016.0,West,Half Yearly,3,3.0
7000101,2054,10.0,2.0,Agent,Salaried,Graduate,Female,3,Exe,2.0,Unmarried,17115.0,0,5.0,0.0,West,Half Yearly,7,2.0
7000102,2906,3.0,0.0,Third Party Partner,Salaried,Graduate,Male,3,Executive,3.0,Married,18161.0,1,3.0,581152.0,West,Half Yearly,0,5.0
7000103,3734,7.0,19.0,Agent,Salaried,Graduate,Male,3,Manager,2.0,Married,20745.0,0,2.0,642265.0,West,Half Yearly,2,3.0
7000104,2606,0.0,3.0,Agent,Small Business,Under Graduate,Male,3,Executive,4.0,Married,17373.0,1,2.0,315320.0,West,Half Yearly,2,2.0
7000105,2197,4.0,0.0,Agent,Salaried,Graduate,Fe male,3,Executive,2.0,Single,18310.0,0,5.0,437243.0,North,Half Yearly,2,4.0
7000106,7070,28.0,28.0,Third Party Partner,Salaried,Graduate,Female,3,VP,5.0,Single,33665.0,1,0.0,1145283.0,West,Half Yearly,2,3.0
7000107,4676,9.0,5.0,Agent,Laarge Business,Engineer,Male,3,Manager,4.0,Single,19485.0,0,7.0,832399.0,East,Half Yearly,7,2.0
7000108,2668,8.0,0.0,Third Party Partner,Small Business,Diploma,Fe male,3,Executive,4.0,Married,17789.0,0,4.0,384242.0,West,Half Yearly,2,3.0
7000109,2499,2.0,5.0,Agent,Small Business,Diploma,Male,4,Manager,2.0,Single,20828.0,1,5.0,347411.0,West,Yearly,4,2.0
7000110,2426,0.0,7.0,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,2.0,Divorced,17326.0,1,3.0,349292.0,West,Half Yearly,2,2.0
7000111,3994,20.0,24.0,Third Party Partner,Small Business,Diploma,Female,3,AVP,4.0,Divorced,28525.0,0,5.0,443279.0,North,Half Yearly,8,3.0
7000112,3448,3.0,10.0,Agent,Salaried,Graduate,Male,3,Executive,3.0,Single,16420.0,0,2.0,0.0,West,Half Yearly,0,0.0
7000113,4834,24.0,10.0,Agent,Small Business,Diploma,Male,3,Senior Manager,4.0,Divorced,23020.0,0,4.0,536596.0,North,Half Yearly,9,2.0
7000114,3924,8.0,24.0,Third Party Partner,Salaried,Graduate,Male,2,Executive,2.0,Divorced,18688.0,0,6.0,651464.0,West,Quarterly,0,5.0
7000115,4096,4.0,25.0,Agent,Small Business,Under Graduate,Male,5,Manager,4.0,Married,20482.0,0,1.0,462893.0,West,Yearly,2,2.0
7000116,4032,20.0,24.0,Agent,Salaried,Graduate,Male,3,AVP,4.0,Single,0.0,0,3.0,528185.0,West,Half Yearly,4,3.0
7000117,3888,16.0,19.0,Agent,Small Business,Under Graduate,Female,4,Executive,3.0,Single,16200.0,0,12.0,524880.0,North,Yearly,0,2.0
7000118,3512,14.0,7.0,Agent,Small Business,Under Graduate,Male,2,Manager,5.0,Single,20661.0,0,4.0,600615.0,North,Quarterly,7,5.0
7000119,4605,23.0,5.0,Agent,Laarge Business,Engineer,Male,2,Manager,2.0,Divorced,21929.0,0,2.0,497350.0,North,Quarterly,7,2.0
7000120,6153,6.0,31.0,Agent,Small Business,Under Graduate,Male,2,Senior Manager,2.0,Married,24613.0,0,2.0,664551.0,West,Quarterly,7,3.0
7000121,2894,12.0,14.0,Online,Salaried,Graduate,Female,3,Manager,4.0,Divorced,20674.0,0,1.0,512302.0,West,Half Yearly,8,3.0
7000122,3482,3.0,14.0,Agent,Salaried,Graduate,Male,4,Manager,3.0,Divorced,20484.0,0,1.0,508413.0,North,Yearly,8,3.0
7000123,6495,6.0,13.0,Agent,Salaried,Graduate,Female,4,Senior Manager,4.0,Divorced,27061.0,0,8.0,1058626.0,West,Yearly,1,3.0
7000124,2066,6.0,6.0,Online,Salaried,Graduate,Male,5,Manager,3.0,Married,20660.0,1,2.0,365682.0,West,Yearly,2,2.0
7000125,4361,17.0,17.0,Agent,Laarge Business,Engineer,Male,3,Executive,2.0,Divorced,19821.0,1,9.0,671535.0,West,Half Yearly,3,4.0
7000126,4282,26.0,13.0,Agent,Salaried,MBA,Male,4,Manager,5.0,Divorced,21410.0,0,5.0,736504.0,North,Yearly,0,3.0
7000127,4648,9.0,28.0,Third Party Partner,Salaried,Graduate,Male,3,Senior Manager,5.0,Married,20210.0,0,6.0,804156.0,North,Half Yearly,11,2.0
7000128,2831,0.0,8.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Married,17695.0,1,1.0,311432.0,West,Half Yearly,2,4.0
7000129,4838,10.0,10.0,Third Party Partner,Salaried,Graduate,Female,3,Senior Manager,4.0,Divorced,26878.0,0,1.0,759572.0,North,Half Yearly,8,3.0
7000130,7696,46.0,23.0,Agent,Small Business,Under Graduate,Male,3,AVP,5.0,Divorced,0.0,1,3.0,892773.0,West,Half Yearly,10,3.0
7000131,2793,0.0,17.0,Third Party Partner,Salaried,Graduate,Female,3,Executive,2.0,Unmarried,17455.0,0,6.0,293244.0,West,Half Yearly,7,5.0
7000132,7241,29.0,43.0,Agent,Large Business,Engineer,Female,4,AVP,3.0,Single,28964.0,1,9.0,1180283.0,West,Yearly,7,3.0
7000133,3390,3.0,20.0,Agent,Small Business,Under Graduate,Male,4,Manager,4.0,Divorced,19941.0,0,1.0,400016.0,West,Yearly,7,2.0
7000134,4370,0.0,22.0,Agent,Salaried,Graduate,Female,3,Executive,4.0,Unmarried,17478.0,1,7.0,524340.0,West,Half Yearly,2,3.0
7000135,3439,10.0,17.0,Agent,Laarge Business,Engineer,Female,4,Manager,4.0,Divorced,20228.0,1,1.0,457355.0,North,Yearly,9,2.0
7000136,4480,4.0,4.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Single,19478.0,1,1.0,730230.0,North,Half Yearly,4,4.0
7000137,3157,3.0,3.0,Agent,Small Business,Diploma,Male,3,Manager,2.0,Married,22547.0,0,3.0,404042.0,North,Half Yearly,7,2.0
7000138,3610,7.0,18.0,Agent,Small Business,Under Graduate,Fe male,2,Manager,2.0,Single,20055.0,0,4.0,415139.0,North,Quarterly,7,3.0
7000139,1846,4.0,0.0,Agent,Small Business,UG,Male,5,Executive,2.0,Divorced,18464.0,1,4.0,204950.0,West,Yearly,2,3.0
7000140,2909,17.0,3.0,Agent,Small Business,Under Graduate,Female,3,Manager,2.0,Divorced,20775.0,0,3.0,421733.0,North,Half Yearly,9,3.0
7000141,5986,18.0,12.0,Third Party Partner,Salaried,Graduate,Female,4,Senior Manager,3.0,Divorced,23943.0,0,2.0,676390.0,West,Yearly,9,2.0
7000142,7197,14.0,36.0,Third Party Partner,Small Business,Under Graduate,Male,4,VP,2.0,Divorced,34272.0,0,0.0,1115554.0,West,Yearly,3,5.0
7000143,5060,25.0,30.0,Agent,Small Business,Under Graduate,Female,3,Manager,3.0,Divorced,20238.0,1,3.0,814580.0,West,Half Yearly,0,4.0
7000144,4133,25.0,4.0,Third Party Partner,Small Business,Diploma,Male,4,Manager,2.0,Single,19682.0,0,4.0,731580.0,West,Yearly,1,3.0
7000145,5328,16.0,21.0,Agent,Salaried,Graduate,Male,3,VP,3.0,Divorced,33300.0,0,0.0,900432.0,West,Half Yearly,1,2.0
7000146,2836,9.0,3.0,Third Party Partner,Salaried,Graduate,Female,4,Manager,3.0,Married,20257.0,0,4.0,320466.0,West,Yearly,0,3.0
7000147,2562,5.0,10.0,Online,Small Business,Diploma,Male,3,Manager,4.0,Divorced,21349.0,1,2.0,274121.0,North,Half Yearly,4,2.0
7000148,2782,14.0,6.0,Third Party Partner,Salaried,Graduate,Fe male,3,Manager,3.0,Single,19869.0,0,4.0,358834.0,West,Half Yearly,3,4.0
7000149,6246,6.0,6.0,Agent,Salaried,Graduate,Female,3,Senior Manager,5.0,Divorced,24985.0,0,1.0,1136818.0,West,Half Yearly,0,5.0
7000150,3365,7.0,10.0,Agent,Salaried,Post Graduate,Male,3,Manager,2.0,Divorced,18697.0,0,6.0,565397.0,North,Half Yearly,8,3.0
7000151,2470,2.0,7.0,Agent,Small Business,Under Graduate,Male,5,Manager,2.0,Divorced,22457.0,1,2.0,466881.0,West,Yearly,2,3.0
7000152,1883,9.0,4.0,Agent,Salaried,Post Graduate,Male,5,Exe,5.0,Divorced,17119.0,1,1.0,0.0,North,Yearly,7,3.0
7000153,1898,6.0,8.0,Agent,Salaried,Post Graduate,Male,4,Executive,2.0,Single,18983.0,0,1.0,349287.0,East,Yearly,2,2.0
7000154,2112,8.0,8.0,Agent,Small Business,Diploma,Female,4,Manager,3.0,Married,21118.0,0,6.0,392795.0,East,Yearly,2,2.0
7000155,3182,6.0,6.0,Agent,Small Business,Diploma,Female,3,Manager,4.0,Divorced,21214.0,0,1.0,502772.0,West,Half Yearly,7,2.0
7000156,2989,3.0,15.0,Agent,Small Business,Under Graduate,Male,3,Manager,2.0,Married,21347.0,0,4.0,540933.0,North,Half Yearly,4,3.0
7000157,4507,5.0,14.0,Agent,Salaried,Graduate,Male,4,Senior Manager,2.0,Married,26510.0,1,1.0,680512.0,North,Yearly,9,5.0
7000158,3543,21.0,7.0,Agent,Small Business,Under Graduate,Female,3,Senior Manager,2.0,Single,22143.0,1,1.0,662519.0,West,Half Yearly,10,4.0
7000159,2559,10.0,10.0,Agent,Small Business,Diploma,Female,4,Manager,4.0,Married,23268.0,1,8.0,493980.0,West,Yearly,7,5.0
7000160,5312,27.0,27.0,Agent,Large Business,Engineer,Male,3,Senior Manager,4.0,Single,23095.0,0,3.0,547121.0,North,Half Yearly,13,3.0
7000161,3581,18.0,0.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Married,17904.0,0,2.0,716160.0,West,Half Yearly,2,2.0
7000162,3996,20.0,20.0,Agent,Small Business,Under Graduate,Male,4,Manager,4.0,Single,21032.0,1,2.0,523486.0,North,Yearly,2,3.0
7000163,3595,22.0,0.0,Third Party Partner,Small Business,UG,Male,3,Manager,3.0,Single,17976.0,0,1.0,478162.0,West,Half Yearly,0,4.0
7000164,4029,8.0,12.0,Agent,Salaried,Graduate,Female,3,AVP,2.0,Single,0.0,0,2.0,789676.0,West,Half Yearly,0,3.0
7000165,1965,6.0,8.0,Online,Salaried,Graduate,Male,3,Manager,3.0,Divorced,19649.0,0,3.0,335998.0,North,Half Yearly,2,2.0
7000166,1770,0.0,4.0,Agent,Large Business,Engineer,Male,3,Executive,3.0,Married,17696.0,1,1.0,205274.0,West,Half Yearly,0,4.0
7000167,1737,0.0,3.0,Agent,Small Business,Under Graduate,Female,3,Executive,4.0,Divorced,17370.0,0,1.0,213651.0,North,Half Yearly,7,4.0
7000168,3300,7.0,3.0,Agent,Small Business,Under Graduate,Female,3,Senior Manager,3.0,Divorced,27504.0,0,3.0,438964.0,North,Half Yearly,0,4.0
7000169,3356,17.0,17.0,Agent,Small Business,Under Graduate,Male,2,Manager,5.0,Married,20974.0,1,3.0,570493.0,West,Quarterly,7,3.0
7000170,4145,12.0,4.0,Online,Laarge Business,Engineer,Fe male,3,Manager,3.0,Divorced,19736.0,1,2.0,617539.0,West,Half Yearly,2,3.0
7000171,3653,18.0,22.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Divorced,20296.0,0,1.0,617404.0,West,Half Yearly,7,5.0
7000172,5227,5.0,26.0,Agent,Salaried,Post Graduate,Male,4,Manager,2.0,Single,21781.0,0,6.0,778889.0,North,Yearly,0,2.0
7000173,3435,17.0,3.0,Third Party Partner,Large Business,Engineer,Female,4,Exe,4.0,Unmarried,17174.0,1,2.0,0.0,West,Yearly,2,5.0
7000174,4980,15.0,15.0,Online,Small Business,Under Graduate,Female,3,Manager,2.0,Single,21653.0,0,5.0,761969.0,West,Half Yearly,0,2.0
